,ID,Название,Модель,Категория,Изображения,Базовая цена,Цена со скидкой
20,10031349,Телевизор Artel UA43H3502,UA43H3502,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10031349.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031349b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031349b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031349b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031349b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031349b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031349b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031349b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031349b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031349b8.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031349s.jpg",27999,27999
21,10030670,Телевизор Haier 55 Smart TV AX Pro,55 Smart TV AX Pro,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10030670.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030670b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030670b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030670b10.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030670b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030670b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030670b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030670b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030670b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030670b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030670b8.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030670b9.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030670s.jpg",69999,59999
22,10030407,Телевизор Hisense 32A4BG,32A4BG,ЖК LED-телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10030407.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030407b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030407b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030407b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030407b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030407b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030407b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030407s.jpg",13999,13999
23,10031656,Телевизор Яндекс 43'' - умный телевизор с Алисой (YNDX-00071),43'' с Алисой (YNDX-00071),4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10031656.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b10.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b11.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b12.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b8.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656b9.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031656s.jpg",29999,29999
24,10031657,Телевизор Яндекс 50'' - умный телевизор с Алисой (YNDX-00072),50'' с Алисой (YNDX-00072),4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10031657.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b10.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b11.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b12.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b8.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657b9.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031657s.jpg",33999,33999
25,10021226,Телевизор Витязь 24LH0201,24LH0201,ЖК LED-телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10021226.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10021226b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10021226s.jpg",6999,5999
26,10030697,Телевизор HEC R1 43 S 4K (DH1U8AD03RU),R1 43 S 4K (DH1U8AD03RU),4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10030697.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030697b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030697b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030697b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030697b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030697b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030697b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030697b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030697b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10030697s.jpg",19999,19999
27,10031522,Телевизор Haier 50 Smart TV AX Pro,50 Smart TV AX Pro,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10031522.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031522b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031522b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031522b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031522b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031522b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031522b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031522b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10031522s.jpg",59999,49999
28,10025200,Телевизор Novex NWX-43F149MSY,NWX-43F149MSY,ЖК LED-телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10025200.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10025200b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10025200b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10025200b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10025200b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10025200b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10025200b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10025200b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10025200s.jpg",14999,14999
29,10028924,Телевизор Haier 75 Smart TV MX,75 Smart TV MX,4K (UHD) телевизоры,"https://img.mvideo.ru/Pdb/big_pic/200/10028924.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b1.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b2.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b20.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b21.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b22.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b23.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b24.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b26.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b27.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b3.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b4.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b5.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b6.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924b7.jpg, https://img.mvideo.ru/Pdb/big_pic/200/10028924s.jpg",99999,99999
